bookId,title,author,publisher,description,keywords,rack,year
52,Elementary Differential Equations and Boundary Value Problems,"William E. Boyce, Richard C. DiPrima",Wiley,"This book is a standard reference in the field of differential equations, covering fundamental methods for solving ordinary differential equations, along with boundary value problems. The book balances theory and applications, offering a rigorous mathematical foundation as well as numerous examples in science and engineering. It is commonly used in undergraduate and graduate courses.","Differential Equations, Boundary Value Problems, Modeling, Ordinary Differential Equations, Applications",rack3,firstyear
53,Engineering Chemistry,Jain and Jain,Dhanpat Rai Publishing Company,"This book is widely used for its clear, concise treatment of fundamental concepts in engineering chemistry. It covers topics such as water treatment, polymers, corrosion, fuels, and environmental chemistry, with a focus on industrial applications. This book is especially helpful for engineering students, offering relevant examples and practical applications","Water Treatment, Polymers, Corrosion, Fuels, Environmental Chemistry, Engineering Applications",rack1,firstyear
54,A Textbook of Engineering Chemistry,S. S. Dara and S. S. Umare,S. Chand Publishing,"Known for its detailed and comprehensive content, this book provides a deep dive into topics such as electrochemistry, water technology, materials chemistry, and organic compounds essential for engineers. The book uses illustrative examples and problem-solving exercises to reinforce core concepts, making it ideal for engineering students preparing for competitive exams.","Electrochemistry, Water Technology, Materials Chemistry, Organic Chemistry, Industrial Chemistry",rack1,firstyear
55,English for Professional Success,Lucia Gorea,Pearson,"This book focuses on enhancing English skills required for professional settings, with emphasis on writing, speaking, reading, and listening. It includes sections on creating effective emails, reports, presentations, and professional correspondence. The book also covers interview skills, business etiquette, and cross-cultural communication, making it suitable for students and professionals alike.","Professional Communication, Business Writing, Public Speaking, Workplace English, Cross-Cultural Communication",rack1,firstyear
56,Business Communication: Building Critical Skills,"Kitty O. Locker, Stephen Kyo Kaczmarek",McGraw-Hill Education,"This book provides a comprehensive guide to effective business communication, with a strong focus on practical skill development. It covers topics such as email etiquette, writing proposals, reports, delivering presentations, and interpersonal communication in a professional environment. Each chapter is designed to build critical communication skills required in the workplace.","Business Communication, Presentation Skills, Email Etiquette, Professional Writing, Workplace Interaction",rack1,firstyear
57,Workshop Technology,"S.K. Hajra Choudhury, A.K. Hajra Choudhury, Nirjhar Roy",Media Promoters & Publishers Pvt. Ltd.,"This comprehensive book is a staple for engineering students, providing an in-depth understanding of various workshop techniques and tools. Topics covered include fitting, carpentry, welding, casting, forging, sheet metal work, and machine tools. Known for its clear explanations and practical illustrations, it serves as a fundamental guide for beginners in engineering workshops.","Workshop Practice, Fitting, Carpentry, Welding, Casting, Forging, Machine Tools",rack1,firstyear
58,Manufacturing Processes,H.S. Bawa,Tata McGraw-Hill Education,"This book covers essential manufacturing processes used in engineering workshops, including cutting, drilling, molding, joining, and finishing. It emphasizes hands-on practice and safety measures in workshops, making it ideal for undergraduate engineering students. The book includes detailed diagrams, examples, and exercises that help students develop a foundational knowledge of workshop practices.","Manufacturing, Drilling, Cutting, Molding, Workshop Safety, Hands-on Practice",rack1,firstyear
59,Let Us C,Yashavant P. Kanetkar,BPB Publications,"Known as one of the best introductory books for learning C programming, this book focuses on building foundational programming skills. It covers essential concepts such as data types, operators, control structures, functions, arrays, pointers, and file handling in a simple, clear manner. Each chapter includes practical examples and exercises to reinforce understanding, making it suitable for beginners and engineering students alike.","C Programming, Problem Solving, Data Types, Functions, Pointers, File Handling, Control Structures",rack1,firstyear
60,Programming in ANSI C,E. Balagurusamy,McGraw Hill Education,"This book provides a comprehensive introduction to C programming with a focus on problem-solving and logical thinking. It covers the C language basics, including loops, arrays, strings, and pointers, and emphasizes developing practical skills for solving complex problems. The book includes numerous examples, exercises, and case studies, making it a great resource for students preparing for exams and competitive coding.","ANSI C, Programming Basics, Loops, Arrays, Problem Solving, Strings, Competitive Coding",rack1,firstyear
61,Soft Skills: Enhancing Employability and Career Development,M.S. Rao,I.K. International Publishing House,"This book provides a comprehensive guide to soft skills, including communication, body language, teamwork, and leadership skills. It offers practical insights and exercises designed to enhance interpersonal communication, confidence, and clarity in expression, which are crucial for professional success. This book is suitable for students looking to improve their communication skills in both academic and professional settings.","Communication Skills, Interpersonal Skills, Body Language, Confidence Building, Teamwork",rack1,firstyear
62,Technical Communication: Principles and Practice,"Meenakshi Raman, Sangeeta Sharma",Oxford University Press,"This book focuses on communication in a technical and professional context. It covers essential topics like verbal and non-verbal communication, technical writing, report drafting, presentation skills, and interview techniques. With numerous examples and practice exercises, it�s well-suited for students in technical disciplines aiming to enhance their clarity and professionalism in communication.","Technical Writing, Professional Communication, Presentation Skills, Report Writing, Verbal and Non-verbal Communication",rack1,firstyear
63,Engineering Chemistry Laboratory Manual,Shashi Chawla,Dhanpat Rai & Co.,"This lab manual covers a variety of experiments essential for engineering chemistry, such as water analysis, pH determination, electrochemistry, and spectrophotometry. Each experiment is presented with clear objectives, procedures, observations, and safety measures, making it ideal for students to perform experiments accurately and understand their practical applications.","Chemistry Lab, Water Analysis, Electrochemistry, pH, Spectrophotometry,",rack1,firstyear
64,A Textbook of Engineering Chemistry (Lab Manual),"S.S. Dara, S.S. Umare",S. Chand Publishing,"This lab manual provides detailed instructions and theoretical background for common engineering chemistry experiments. Topics include volumetric analysis, chromatography, corrosion studies, and chemical kinetics. The manual emphasizes safety, step-by-step procedures, and accurate data recording, making it a suitable resource for students to understand both the techniques and underlying concepts.","Volumetric Analysis, Chromatography, Corrosion, Chemical Kinetics, Lab Safety, Experimental Chemistry",rack1,firstyear
65,C Programming: A Problem-Solving Approach,D.S. Malik,Cengage Learning,"This book emphasizes a problem-solving approach to learning C programming. It covers fundamental concepts such as data types, control structures, functions, and arrays, while providing numerous programming exercises and real-world problems. The hands-on exercises in the lab format allow students to practice coding and enhance their problem-solving skills effectively.","C Programming, Problem Solving, Data Types, Control Structures, Functions, Coding Exercises",rack1,firstyear
66,Programming in C: A Comprehensive Approach,R.S. Salaria,Khanna Publishing,"This book offers a comprehensive introduction to C programming, focusing on various programming techniques and problem-solving strategies. It includes detailed explanations, examples, and a wide range of programming problems for practice. Each chapter concludes with lab exercises that encourage students to apply the concepts learned, making it ideal for practical programming labs.","C Programming, Comprehensive Approach, Problem-Solving Strategies, Practical Exercises, Programming Techniques",rack1,firstyear
67,Numerical Methods for Engineers,"Steven C. Chapra, Raymond P. Canale",McGraw-Hill Education,"This book integrates numerical methods with engineering applications, providing a clear understanding of both numerical analysis and vector calculus. It covers topics such as root-finding, interpolation, numerical integration, and differential equations, with practical examples and MATLAB applications. The integrated approach helps students apply numerical methods to real-world engineering problems effectively","Numerical Methods, Engineering Applications, MATLAB, Root-Finding, Interpolation, Differential Equations",rack1,firstyear
68,"Vector Calculus, Linear Algebra, and Differential Forms: A Unified Approach","John H. Hubbard, Barbara Burke Hubbard",Springer,"This book provides a comprehensive treatment of vector calculus and linear algebra, emphasizing their interconnections and applications. It presents both theoretical concepts and practical applications, including integration, differentiation, and differential forms. The integrated approach enhances the understanding of how numerical methods can be applied in vector calculus, making it suitable for advanced undergraduate and graduate students.","Vector Calculus, Linear Algebra, Differential Forms, Unified Approach, Integration, Differentiation",rack1,firstyear
69,Engineering Physics,Gaur and Gupta,Dhanpat Rai & Co.,"This textbook provides a comprehensive overview of essential physics principles and their applications in engineering. It covers topics such as optics, mechanics, thermodynamics, and quantum physics, with a strong emphasis on real-world applications. The book includes numerous examples, illustrations, and end-of-chapter problems to enhance understanding, making it ideal for engineering students.","Engineering Physics, Mechanics, Optics, Thermodynamics, Quantum Physics, Applications",rack1,firstyear
70,Concepts of Modern Physics,Arthur Beiser,McGraw-Hill Education,"This book presents modern physics concepts relevant to engineering, including relativity, quantum mechanics, and atomic structure. It bridges the gap between fundamental physics and engineering applications, providing insights into how modern physics principles influence technology and engineering practices. The clear explanations, along with practical examples, make it a valuable resource for engineering students.","Modern Physics, Relativity, Quantum Mechanics, Atomic Structure, Engineering Applications",rack1,firstyear
71,Digital Design: Principles and Practices,John F. Wakerly,Pearson,"This book provides a comprehensive introduction to digital design, focusing on the principles of switching theory and logic design. It covers combinational and sequential circuits, Boolean algebra, minimization techniques, and programmable logic devices. The book features numerous examples, design problems, and simulation exercises, making it an excellent resource for both beginners and advanced students in digital electronics.","Digital Design, Switching Theory, Logic Design, Combinational Circuits, Sequential Circuits, Boolean Algebra",rack1,firstyear
72,Fundamentals of Logic Design,"Charles H. Roth Jr., Larry L. Kinney",Cengage Learning,"This textbook focuses on the foundational concepts of logic design and switching theory, providing clear explanations of key topics such as number systems, Boolean functions, logic gates, and digital circuit design. It emphasizes a practical approach with numerous examples, exercises, and design projects to help students understand and apply logic design principles effectively.","Logic Design, Switching Theory, Digital Circuits, Boolean Functions, Number Systems, Circuit Design",rack1,firstyear
73,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,No Starch Press,"This book provides a comprehensive introduction to Python programming through hands-on projects. It covers basic concepts like variables, data types, loops, and functions, as well as more advanced topics like web development, data visualization, and automation. Each section includes practical exercises and projects that help solidify the reader's understanding of Python in real-world applications.","Python Programming, Project-Based Learning, Data Visualization, Web Development, Automation",rack1,firstyear
74,Learning Python: Powerful Object-Oriented Programming,Mark Lutz,O'Reilly Media,"This book offers an in-depth exploration of Python, emphasizing object-oriented programming principles. It covers a wide range of topics, including data structures, modules, exceptions, and file handling. The book is well-structured for both beginners and experienced programmers, providing clear explanations, examples, and exercises to enhance understanding and practical skills in Python programming.","Python Programming, Object-Oriented Programming, Data Structures, Modules, File Handling",rack1,firstyear
75,Engineering Drawing and Design,"David A. Madsen, David P. Madsen",Cengage Learning,"This book provides a comprehensive introduction to engineering drawing principles, practices, and standards. It covers topics such as sketching techniques, orthographic projection, dimensioning, and tolerancing, along with CAD (Computer-Aided Design) applications. The book includes numerous examples, exercises, and practical projects to enhance the learning experience for engineering students.","Engineering Drawing, Orthographic Projection, Dimensioning, Tolerancing, CAD, Technical Drawing",rack1,firstyear
76,Engineering Drawing,"N. D. Bhatt, V. M. Panchal",Charotar Publishing House,"This book is a widely used reference for engineering drawing and graphic communication. It covers the fundamental concepts and techniques required for creating accurate engineering drawings, including line types, scales, and geometric constructions. The book also emphasizes the importance of visualization skills and includes a variety of exercises for practice.","Engineering Drawing, Graphic Communication, Geometric Constructions, Visualization, Technical Skills",rack1,firstyear
77,Engineering Physics Laboratory Manual,"S. Balasubramanian, M. S. K. M. Reddy",Vikas Publishing House,"This manual provides a comprehensive collection of laboratory experiments designed for engineering physics courses. It covers a range of topics, including optics, mechanics, thermodynamics, and modern physics. Each experiment is detailed with objectives, theoretical background, procedures, observations, and analysis, making it a valuable resource for students to enhance their practical skills and understanding of physics concepts.","Engineering Physics, Laboratory Experiments, Optics, Mechanics, Thermodynamics, Practical Skills",rack1,firstyear
78,Physics Laboratory Manual,"S. M. Dharmarajan, C. S. B. Rao",New Age International,"This laboratory manual offers a collection of experiments related to various fields of physics, emphasizing hands-on learning and experimental techniques. It includes detailed instructions and safety measures for conducting experiments in areas such as acoustics, optics, and electromagnetism. The manual also encourages students to analyze results critically and understand the underlying physical principles.","Physics Laboratory, Experimental Techniques, Acoustics, Optics, Electromagnetism, Safety Measures",rack1,firstyear
79,Python Programming Laboratory Manual,S. S. Sarma,PHI Learning,"This manual is designed to provide a comprehensive set of practical exercises and experiments in Python programming. It covers a wide range of topics, including basic syntax, data structures, functions, file handling, and libraries like NumPy and pandas. Each exercise is presented with objectives, expected outcomes, and hints to help students understand and implement Python concepts effectively.","Python Programming, Laboratory Manual, Data Structures, File Handling, NumPy, Practical Exercises",rack1,firstyear
80,"Vector Calculus, Linear Algebra, and Differential Forms: A Unified Approach","Eric P. S. S. F. Wang, Richard L. Halverson",Apress,"This book emphasizes a hands-on, project-based approach to learning Python programming. It includes practical exercises and projects that guide students through the development of real-world applications, focusing on problem-solving techniques and coding best practices. Topics covered range from basic programming constructs to advanced topics like web development and data analysis.","Python Programming, Project-Based Learning, Problem Solving, Data Analysis, Web Development",rack1,firstyear
81,Textbook of Environmental Studies for Undergraduate Courses,Erach Bharucha,"University Grants Commission (UGC), India","This textbook is designed specifically for undergraduate students in India, following the UGC syllabus for environmental studies. It provides a comprehensive overview of environmental concepts, ecosystems, biodiversity, pollution, and sustainable development. The book includes case studies, illustrations, and practical activities that enhance understanding of environmental issues and encourage sustainable practices.","Environmental Studies, Ecosystems, Biodiversity, Pollution, Sustainable Development, UGC Syllabus",rack1,firstyear
82,Environmental Studies: From Crisis to Cure,Rajagopalan,Oxford University Press,"This book provides a thorough introduction to environmental studies, addressing key topics such as environmental ethics, natural resources, climate change, and conservation efforts. It emphasizes current environmental challenges and explores solutions, making it a practical resource for students aiming to understand and address global environmental concerns. The book includes exercises, illustrations, and review questions for an interactive learning experience.","Environmental Ethics, Climate Change, Conservation, Natural Resources, Global Challenges, Interactive Learning",rack1,firstyear
83,Managerial Economics and Financial Analysis,Aryasri A. R.,ata McGraw-Hill Education,"This book provides a comprehensive overview of managerial economics concepts, including demand and supply analysis, market structures, pricing strategies, and financial analysis topics like capital budgeting, financial ratios, and break-even analysis. It is well-suited for undergraduate engineering and business students, with practical examples and case studies to relate economic theories to real-world applications.","Managerial Economics, Demand and Supply, Market Structures, Pricing Strategies, Financial Ratios, Capital Budgeting",rack1,secondyear
84,Managerial Economics and Financial Analysis for Engineering,"S. A. Siddiqui, A. S. Siddiqui",New Age International Publishers,"�This textbook introduces managerial economics principles and financial analysis specifically for engineering students, focusing on topics like cost analysis, profit maximization, capital structure, and investment decisions. It includes detailed examples, illustrations, and exercises to build a strong foundation in both economics and financial management, tailored to the needs of technical students.","Cost Analysis, Profit Maximization, Investment Decisions, Financial Management, Economic Principles, Capital Structure",rack1,secondyear
85,Discrete Mathematics and Its Applications,Kenneth H. Rosen,McGraw-Hill Education,"This widely-used textbook provides a thorough introduction to discrete mathematics, which forms the mathematical foundation for computer science. It covers topics such as logic, set theory, graph theory, combinatorics, and algorithms. With clear explanations, examples, and exercises, this book is suitable for computer science students looking to build a strong mathematical foundation.","Discrete Mathematics, Logic, Set Theory, Graph Theory, Combinatorics, Algorithms",rack1,secondyear
86,Mathematics for Computer Science,"Eric Lehman, F. Thomson Leighton, Albert R. Meyer",MIT Press,"This textbook offers a rigorous exploration of mathematical concepts relevant to computer science, including number theory, probability, graph theory, and formal proofs. It emphasizes problem-solving and reasoning skills, with examples and exercises tailored to computational applications. Suitable for undergraduate students, it provides a strong mathematical foundation critical for advanced topics in computer science.","Number Theory, Probability, Graph Theory, Formal Proofs, Problem-Solving, Computational Applications",rack1,secondyear
87,Object-Oriented Programming with C++,E. Balagurusamy,McGraw-Hill Education,"This book offers a comprehensive introduction to C++ and object-oriented programming concepts, including classes, inheritance, polymorphism, and exception handling. The book is well-suited for beginners, with clear explanations, examples, and exercises that build up programming skills and understanding of OOP principles. It also includes numerous programming examples and problems to solidify the concepts learned.","C++ Programming, Object-Oriented Programming, Classes, Inheritance, Polymorphism, Exception Handling",rack2,secondyear
88,C++ Primer,"Stanley B. Lippman, Jos�e Lajoie, Barbara E. Moo",Addison-Wesley,"This classic book provides a detailed exploration of C++ programming with a focus on best practices in object-oriented programming. It covers essential topics like classes, templates, operator overloading, and memory management. Known for its depth and clarity, this book is suitable for both beginners and advanced learners, with numerous examples and exercises to enhance understanding.","C++ Programming, Object-Oriented Principles, Classes, Templates, Operator Overloading, Memory Management",rack2,secondyear
89,Data Structures Using C,Reema Thareja,Oxford University Press,"This textbook provides a detailed introduction to data structures, including arrays, linked lists, stacks, queues, trees, and graphs, with a focus on implementations in C. It also covers algorithm analysis, sorting, searching, and hashing techniques. Each chapter includes examples, exercises, and diagrams to help students understand the underlying logic and improve coding skills.","Data Structures, Linked Lists, Stacks, Queues, Trees, Algorithm Analysis, C Programming",rack2,secondyear
90,Data Structures and Algorithm Analysis in C,Mark Allen Weiss,Pearson,"This book provides a rigorous treatment of data structures and algorithms, including complexity analysis. Topics include linked lists, binary trees, heaps, hashing, graph algorithms, and sorting algorithms, all implemented in C. The book emphasizes efficiency and optimization, making it suitable for students and professionals aiming to master data structures for performance-critical applications.","Algorithm Analysis, Complexity, Binary Trees, Hashing, Graph Algorithms, Sorting, C Language",rack2,secondyear
91,Computer Organization and Architecture: Designing for Performance,William Stallings,Pearson,"This comprehensive textbook provides an in-depth look at computer organization and architecture, covering topics such as processor design, memory hierarchy, I/O systems, and parallel processing. Known for its clarity and extensive examples, the book explains fundamental concepts and includes case studies, diagrams, and exercises, making it suitable for undergraduate students and professionals alike.","Computer Architecture, Processor Design, Memory Hierarchy, I/O Systems, Parallel Processing, Performance Optimization",rack2,secondyear
92,Computer Organization and Design: The Hardware/Software Interface,"David A. Patterson, John L. Hennessy",Morgan Kaufmann,"This book provides a solid foundation in computer organization with a focus on the interaction between hardware and software. It covers essential concepts such as digital logic, pipelining, instruction sets, and performance measurement, often using real-world examples from modern processors. The book also includes practical exercises and insights into current technologies, making it ideal for students and practitioners.","Digital Logic, Instruction Sets, Pipelining, Hardware/Software Interface, Performance Measurement, Modern Processors",rack2,secondyear
93,Business Communication: Building Critical Skills,"Kitty O. Locker, Stephen Kyo Kaczmarek",McGraw-Hill Education,"This book provides a comprehensive approach to business and professional communication, covering essential skills like writing, presenting, listening, and interpersonal communication. It focuses on building effective communication skills through real-world examples, exercises, and case studies, helping students understand the nuances of professional communication across various contexts.","Business Communication, Writing Skills, Presentation Skills, Interpersonal Communication, Professional Etiquette",rack2,secondyear
94,Professional Communication Skills,"Pravin Bhatia, A. M. Sheikh",S. Chand Publishing,"This book addresses the core areas of professional communication, including verbal and non-verbal communication, business writing, interviews, group discussions, and presentation skills. Each topic is explained with examples, tips, and exercises, enabling students and professionals to enhance their communication skills for workplace effectiveness. It emphasizes clarity, conciseness, and the importance of cultural sensitivity in global communication.","Verbal Communication, Non-Verbal Communication, Business Writing, Group Discussion, Cultural Sensitivity, Workplace Communication",rack2,secondyear
95,Object-Oriented Programming with C++: Laboratory Manual,Jitendra Kumar,PHI Learning,"This laboratory manual provides a structured approach to learning object-oriented programming concepts in C++. It covers topics such as classes, objects, inheritance, polymorphism, and exception handling with practical exercises and code examples. Each lab session is designed to reinforce core concepts and encourage hands-on experience through progressively challenging exercises.","Object-Oriented Programming, C++, Classes and Objects, Inheritance, Polymorphism, Exception Handling, Laboratory Exercises",rack2,secondyear
96,"vector Calculus, Linear Algebra, and Differential Forms: A Unified Approach",B. M. Harwani,University Science Press,"This lab manual provides a practical approach to learning C++ and object-oriented programming principles through a series of exercises and examples. Topics include data encapsulation, operator overloading, file handling, and template programming. Each chapter includes problem-solving exercises that promote a hands-on understanding of how object-oriented concepts are implemented in C++.","C++ Programming, Object-Oriented Concepts, Operator Overloading, File Handling, Templates, Problem-Solving, Hands-On Exercises",rack2,secondyear
97,Data Structures Laboratory Manual,Narasimha Karumanchi,CareerMonk Publications,"This laboratory manual is designed to help students gain a strong understanding of data structures through practical exercises. Covering arrays, linked lists, stacks, queues, trees, graphs, and sorting algorithms, it provides step-by-step instructions and sample code for each experiment. The book emphasizes implementation and problem-solving, making it an excellent resource for students to master data structures in a hands-on manner.","Data Structures, Arrays, Linked Lists, Stacks, Queues, Trees, Graphs, Sorting Algorithms",rack2,secondyear
98,Data Structures through C in Depth,"S. K. Srivastava, Deepali Srivastava",BPB Publications,"While not strictly a lab manual, this book provides a comprehensive guide to data structures with practical C programming exercises. It covers fundamental data structures such as stacks, queues, linked lists, trees, and graphs, with an emphasis on C implementations and algorithms. It includes detailed explanations, examples, and exercises designed to help students apply data structures concepts in coding tasks.","C Programming, Data Structures, Algorithms, Linked Lists, Trees, Graphs, Coding Exercises",rack2,secondyear
99,Linux Command Line and Shell Scripting Bible,"Richard Blum, Christine Bresnahan",Wiley,"his book offers a comprehensive introduction to Linux command-line usage and shell scripting, covering topics such as shell syntax, variables, loops, functions, and file manipulation. With hands-on examples and practical exercises, this guide is designed to help beginners master the basics of shell scripting while gradually advancing to more complex concepts. It is well-suited for those new to scripting and Linux environments","Shell Scripting, Linux Commands, Shell Syntax, Variables, Loops, Functions, File Manipulation",rack2,secondyear
100,Shell Scripting: How to Automate Command Line Tasks Using Bash Scripting and Shell Programming,Jason Cannon,CreateSpace Independent Publishing,"This book introduces readers to Bash shell scripting, focusing on automating repetitive tasks and managing system operations. It covers fundamental scripting techniques, including working with commands, using conditional statements, loops, and handling user input. Written with beginners in mind, this book provides clear explanations and examples to help readers get comfortable with Linux shell scripting","Bash Scripting, Automation, Command Line Tasks, Conditionals, Loops, User Input, Linux",rack2,secondyear
101,"The Complete Guide to Service Learning: Proven, Practical Ways to Engage Students in Civic Responsibility, Academic Curriculum, & Social Action",Cathryn Berger Kaye,Free Spirit Publishing,"This comprehensive guide provides students with practical steps and resources for planning, executing, and reflecting on community service projects. It includes templates, sample projects, and real-life examples that integrate service learning with academic and personal growth. This book emphasizes critical thinking, empathy, and civic responsibility, making it a valuable resource for students looking to make meaningful contributions to their communities.","Service Learning, Community Engagement, Civic Responsibility, Project Planning, Empathy, Social Action",rack2,secondyear
102,"Service-Learning Essentials: Questions, Answers, and Lessons Learned",Barbara Jacoby,Jossey-Bass,"This book offers a practical approach to understanding and implementing service-learning projects, covering everything from goal-setting and collaboration with community partners to reflection and assessment. It includes case studies and frequently asked questions, providing students with a step-by-step guide to creating impactful service projects. Suitable for both high school and college students, this guide encourages meaningful, sustainable community involvement.","Service-Learning, Community Partnership, Project Execution, Reflection, Assessment, Social Impact",rack2,secondyear
103,Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",MIT Press,"Often referred to as the ""CLRS book,"" this is a classic and authoritative text in algorithm design and analysis. It covers a wide range of algorithms, from elementary data structures and sorting algorithms to advanced topics like graph algorithms, dynamic programming, and NP-completeness. Each algorithm is presented with clear explanations, pseudocode, and complexity analysis, making it ideal for undergraduate and graduate students as well as professionals.","Algorithms, Data Structures, Sorting, Graph Algorithms, Dynamic Programming, NP-Completeness, Complexity Analysis",rack2,secondyear
104,Algorithm Design,"Jon Kleinberg, �va Tardos",Pearson,"This book emphasizes a conceptual approach to algorithm design, focusing on problem-solving strategies such as divide-and-conquer, greedy algorithms, and network flow. It includes practical examples and exercises that guide students in understanding the rationale behind algorithm choices. Known for its clarity and focus on design principles, this book is a valuable resource for students looking to build a solid foundation in algorithm analysis and optimization.","Algorithm Design, Divide-and-Conquer, Greedy Algorithms, Network Flow, Optimization, Problem-Solving",rack2,secondyear
105,Software Engineering: A Practitioner's Approach,Roger S. Pressman,McGraw-Hill Education,"This textbook provides a comprehensive introduction to software engineering practices, methodologies, and tools. It covers topics such as software development life cycles, requirements engineering, design principles, testing strategies, and project management. Known for its clarity and depth, the book includes real-world case studies, exercises, and updated insights on agile practices and software quality.","Software Engineering, Development Life Cycle, Requirements Engineering, Design Principles, Testing, Agile Practices, Software Quality",rack2,secondyear
106,Software Engineering,Ian Sommerville,Pearson,"This book is a widely used resource in software engineering, known for its thorough exploration of software processes, system modeling, architectural design, and maintenance. It includes discussions on agile methods, user-centered design, and emerging topics such as DevOps and continuous delivery. Practical case studies and exercises make it suitable for both students and professionals seeking a deep understanding of modern software engineering practices.","System Modeling, Agile Methods, Architectural Design, User-Centered Design, DevOps, Continuous Delivery, Software Processes",rack2,secondyear
107,Database Management Systems,"Raghu Ramakrishnan, Johannes Gehrke",McGraw-Hill Education,"This widely acclaimed book provides an in-depth exploration of database management systems, including the relational model, SQL, database design, indexing, and transaction processing. Known for its clarity and structure, it also covers advanced topics like data warehousing, NoSQL databases, and query optimization. With numerous examples, case studies, and exercises, this book is ideal for students and professionals looking to gain a thorough understanding of DBMS.","DBMS, Relational Model, SQL, Database Design, Indexing, Transaction Processing, Query Optimization, NoSQL",rack2,secondyear
108,Fundamentals of Database Systems,"Ramez Elmasri, Shamkant B. Navathe",Pearson,"This comprehensive textbook covers a wide range of database topics, including data models, relational algebra, normalization, and query processing. It also addresses contemporary issues such as big data, NoSQL, and distributed databases. With real-world examples, in-depth explanations, and hands-on exercises, this book is suitable for students and practitioners aiming to build both foundational and advanced DBMS knowledge.","Data Models, Relational Algebra, SQL, Normalization, Query Processing, NoSQL, Distributed Databases, Big Data",rack2,secondyear
109,Java: The Complete Reference,Herbert Schildt,McGraw-Hill Education,"This comprehensive guide covers all aspects of Java, from the basics to advanced topics such as multithreading, networking, and JavaFX. Known for its clear explanations, the book introduces Java syntax, core APIs, applet programming, and more, making it an excellent resource for beginners and experienced developers alike. The latest editions also include coverage of new Java SE features, ensuring readers are up-to-date with current standards.","Java Basics, Core APIs, Multithreading, Networking, JavaFX, Java SE, Advanced Java Programming",rack2,secondyear
110,Effective Java,Joshua Bloch,Addison-Wesley,"This book is a must-read for Java developers looking to write more efficient, maintainable, and high-quality code. It provides 90 practical tips, organized into chapters on topics like object creation, serialization, concurrency, and design patterns. Known for its concise and actionable advice, Effective Java is ideal for intermediate to advanced Java developers who want to follow best practices and deepen their understanding of the language.","Java Best Practices, Object Creation, Serialization, Concurrency, Design Patterns, Coding Efficiency",rack2,secondyear
111,robability and Statistics for Engineering and the Sciences,Jay L. Devore,Cengage Learning,"This widely used textbook covers probability theory, descriptive statistics, sampling distributions, statistical inference, and regression analysis with applications in engineering and science. Known for its clear explanations and real-world examples, it integrates step-by-step solutions and exercises to reinforce understanding. It�s ideal for students and professionals who need a solid foundation in probability and statistics.","Probability, Descriptive Statistics, Sampling Distributions, Statistical Inference, Regression Analysis, Engineering Applications",rack2,secondyear
112,Applied Statistics and Probability for Engineers,"Douglas C. Montgomery, George C. Runger",Wiley,"This book offers a practical approach to probability and statistics, focusing on applications in engineering. It includes topics such as hypothesis testing, control charts, process optimization, and reliability engineering. With numerous examples and case studies, the book emphasizes real-world applications, making it an excellent choice for engineering students and practitioners looking to apply statistical methods to problem-solving in their fields.","Applied Statistics, Probability, Hypothesis Testing, Control Charts, Reliability Engineering, Process Optimization, Engineering Applications",rack2,secondyear
113,Essentials of Business Communication,"Mary Ellen Guffey, Dana Loewy",Cengage Learning,"This book offers a practical approach to business communication, focusing on written and oral communication, listening skills, and digital communication strategies. It provides insights into composing emails, reports, and presentations, with exercises and examples that prepare readers for real-world communication challenges. This book is well-suited for students, professionals, and anyone interested in building strong communication skills for professional success","Business Communication, Written Communication, Digital Communication, Listening Skills, Professional Presentations",rack2,secondyear
114,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","Hadley Wickham, Garrett Grolemund",O'Reilly Media,"This book is a comprehensive introduction to data science using R, with a strong emphasis on visualization using the ggplot2 package. It covers data import, tidying, and transformation, leading to effective data visualization. With practical examples and exercises, it helps readers develop the skills needed to create insightful visualizations and understand the principles of good data representation.","Data Visualization, ggplot2, R Programming, Data Science, Data Manipulation, Tidyverse",rack2,secondyear
115,Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures,Claus Wilke,O'Reilly Media,"This book offers a clear introduction to the principles of data visualization, providing practical guidance on creating effective visualizations with R. It covers various types of visualizations, the psychology behind visual perception, and how to convey information effectively. The book includes examples using ggplot2 and provides a strong foundation for creating compelling figures in R.","Data Visualization, Principles of Visualization, R Programming, ggplot2, Effective Communication, Visual Perception",rack1,secondyear
116,. Database System Concepts (Laboratory Manual),"Abraham Silberschatz, Henry Korth, S. Sudarshan",McGraw-Hill Education,"This laboratory manual complements the main textbook, Database System Concepts, providing hands-on exercises and experiments related to database design, SQL queries, transaction management, and database programming. It includes detailed instructions, examples, and practical assignments to reinforce the concepts learned in the classroom. This manual is designed for students who want to gain practical experience in database management systems.","Database Lab, SQL Queries, Transaction Management, Database Design, Hands-On Exercises, Database Programming",rack2,secondyear
